train_accuracy,val_accuracy,eval_accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
0.69044584,0.52884614,0.5234375,29.22171974182129,False,,,1,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-14-26,1610709266,29.22171974182129,2411397,iss-dllab01,129.69.34.55,29.22171974182129,0,1,930661e4,10_prepare.clahe_flag=True
0.7242038,0.6923077,0.625,1.763606071472168,False,,,2,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-14-27,1610709267,30.985325813293457,2411397,iss-dllab01,129.69.34.55,30.985325813293457,0,2,930661e4,10_prepare.clahe_flag=True
0.74240506,0.77884614,0.6328125,2.1046910285949707,False,,,3,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-14-29,1610709269,33.09001684188843,2411397,iss-dllab01,129.69.34.55,33.09001684188843,0,3,930661e4,10_prepare.clahe_flag=True
0.7633588,0.6057692,0.609375,2.0443036556243896,False,,,4,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-14-31,1610709271,35.13432049751282,2411397,iss-dllab01,129.69.34.55,35.13432049751282,0,4,930661e4,10_prepare.clahe_flag=True
0.7379135,0.74038464,0.6171875,1.6610007286071777,False,,,5,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-14-33,1610709273,36.795321226119995,2411397,iss-dllab01,129.69.34.55,36.795321226119995,0,5,930661e4,10_prepare.clahe_flag=True
0.7410942,0.71153843,0.7265625,1.6949472427368164,False,,,6,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-14-35,1610709275,38.49026846885681,2411397,iss-dllab01,129.69.34.55,38.49026846885681,0,6,930661e4,10_prepare.clahe_flag=True
0.7652672,0.53846157,0.6171875,1.637535810470581,False,,,7,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-14-36,1610709276,40.12780427932739,2411397,iss-dllab01,129.69.34.55,40.12780427932739,0,7,930661e4,10_prepare.clahe_flag=True
0.7589058,0.7307692,0.6953125,1.6757593154907227,False,,,8,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-14-38,1610709278,41.803563594818115,2411397,iss-dllab01,129.69.34.55,41.803563594818115,0,8,930661e4,10_prepare.clahe_flag=True
0.77707005,0.6442308,0.6875,1.6821832656860352,False,,,9,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-14-40,1610709280,43.48574686050415,2411397,iss-dllab01,129.69.34.55,43.48574686050415,0,9,930661e4,10_prepare.clahe_flag=True
0.7989822,0.5576923,0.5859375,1.6986021995544434,False,,,10,aaa30598b3d4494590b9fab5ce77c473,2021-01-15_12-14-42,1610709282,45.184349060058594,2411397,iss-dllab01,129.69.34.55,45.184349060058594,0,10,930661e4,10_prepare.clahe_flag=True
